,Number,Paper,Headline,Date,Url,Party,Sentiment
0,0,test,test,test,test,test,test
1,1,Guardian,Government has no clue how to execute Brexit without harm  Airbus chief,2018-07-06 12:44:23.192854,https://www.theguardian.com/business/2018/jul/06/government-has-no-clue-how-to-execute-brexit-without-harm-airbus-chief,,
